MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,MP_Mode,Length,Width,Draft,Cargo,TransceiverClass,VesselID
375605000,2025-09-05T15:38:55,18.25452539007519,-64.97642530671966,0,0,0.3194358858937869,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:38:55,18.232538562376533,-64.98207214497444,0,0,2.183073608685811,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:38:55,18.258425043732938,-64.97733628708029,0,0,-1.2456581798824935,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:38:56,18.25452335329714,-64.97641184289358,0,0,0.27743874286596937,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:38:56,18.232549765398804,-64.98207788246668,0,0,2.164220613967319,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:38:56,18.25841383532616,-64.97734150372655,0,0,-1.3035417036675374,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:38:57,18.254523016971348,-64.97640295885726,0,0,0.1662640421252332,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:38:57,18.23255710698687,-64.98208202562459,0,0,2.1245752377362495,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:38:57,18.25840593904241,-64.97734302955128,0,0,-1.4904080776051412,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:38:58,18.254523377752076,-64.9763898000308,0,0,0.07988081985477825,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:38:58,18.23256788717087,-64.9820885094565,0,0,2.097159250880206,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-09-05T15:38:58,18.258393849937885,-64.9773432433465,0,0,-1.6476588665305913,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
375605000,2025-09-05T15:38:59,18.25452379211155,-64.97638105993308,0,0,-0.03545313145904876,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-09-05T15:38:59,18.23257507170873,-64.98209274230251,0,0,2.0638207922998943,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
